优先级,操作符,左参类型,右参类型,返回类型,对应方法,功能描述,推荐度
0,"""{}""_xyjson",字符串字面量,无,Document,构造函数,字符串字面量自定义转换,3
2,a.b,对象,成员,auto,,成员访问，不可重载,3
2,it->b,iteratorT,jsonT 成员方法,auto,value,间接成员访问,3
2,json->b,jsonT,jsonT 成员方法,auto,this,间接成员访问,2
2,json[key],jsonT,字符串、整数,jsonT,index,常规单层索引,4
2,it++,iteratorT,无,iteratorT,next,后缀自增，返回原拷贝,2
2,it--,iteratorT,无,iteratorT,prev,后缀自减，返回原拷贝,1
2,bool(a),无,T,bool,isValid,布尔条件上下文直接判断,4
3,(bool)a,无,T,bool,isValid,显式转布尔逻辑值,3
3,++it,iteratorT,无,iteratorT&,next,前缀自增再返回,4
3,--it,iteratorT,无,iteratorT&,prev,前缀自减再返回,3
3,!a,无,T,bool,!isValid,错误判断/无效判断,5
3,(int)json,无,jsonT,int,toInteger,转整数,3
3,(double)json,无,jsonT,double,toNumber,转浮点数,3
3,(string)json,无,jsonT,std::string,toString,转字符串,3
3,~doc,无,Document,MutableDocument,mutate,可读写模式转换,4
3,~doc,无,MutableDocument,Document,freeze,可读写模式转换,4
3,~it,无,iteratorT,jsonT,key,迭代器当前键结点,2
3,*it,无,iteratorT,jsonT,value,迭代器当前值结点,5
3,*doc,无,docT,jsonT,root,取根结点,4
3,+json,无,jsonT,int,toInteger,转整数,3
3,+it,无,iteratorT,size_t,index,取迭代器当前索引,2
3,-json,无,jsonT,std::string,toString,转字符串,3
3,-it,无,iteratorT,const char*,name,取迭代器当前键名,2
5,json / path,jsonT,字符串、整数,jsonT,pathto,标准链式路径访问,5
5,it / key,iteratorT,字符串,jsonT,seek,连续快速查找固定键,4
5,doc * b,MutableDocument,scalarT,MutableValue,create,创建 JSON 结点,3
5,doc * b,MutableDocument,jsonT docT,MutableValue,create,复制 JSON 结点,3
5,doc * b,MutableDocument,MutableValue&&,MutableValue,create,移动 JSON 结点,2
5,json * json,MutableValue&&,MutableValue&&,KeyValue,tag,绑定键值对,3
5,json * key,MutableValue,keyT,KeyValue,tag,值绑定键名,3
5,json % key,jsonT,字符串、整数,iteratorT,iterator,创建迭代器,4
5,it % key,iteratorT,字符串、整数,iteratorT,advance,拷贝迭代器重定位,2
6,it + n,iteratorT,size_t,iteratorT,advance,拷贝迭代器多步前进,2
7,os << json,输出流,jsonT,std::ostream&,toString,序列化输出,4
7,doc << input,docT,字符串、文件,bool,read,读入json解析,4
7,json << b,MutableValue,scalarT 等类型,MutableValue,push,容器尾部追加结点,5
7,it << b,iteratorT,scalarT 等类型,iteratorT&,insert,容器迭代器定点插入,4
7,doc >> output,docT,字符串、文件,bool,write,序列化输出,4
7,json >> b,jsonT,scalartT&,bool,get,值提取并判断是否成功,4
7,json >> json,MutableValue,MutableValue&,MutableValue&,pop,数组尾部删除,3
7,json >> kv,MutableValue,KeyValue&,MutableValue&,pop,对象尾部删除,3
7,it >> json,iteratorT,MutableValue&,iteratorT&,remove,数组迭代器定点删除,3
7,it >> kv,iteratorT,KeyValue&,iteratorT&,remove,对象迭代器定点删除,3
9,a < b,jsonT,jsonT,bool,less,json 有序性定义,3
9,a <= b,jsonT,jsonT,bool,less,json 有序性定义,2
9,a > b,jsonT,jsonT,bool,less,json 有序性定义,2
9,a >= b,jsonT,jsonT,bool,less,json 有序性定义,2
10,a == b,T,T,bool,equal,相等性判断,4
10,a != b,T,T,bool,!equal,不等性判断,4
11,json & b,jsonT,scalarT,bool,isType,类型判断,4
13,json | b,jsonT,scalarT,auto,getor,带默认值提取,5
13,json | func,jsonT,函数,auto,pipe,自定义管道函数转换,4
16,json = json,jsonT,jsonT,jsonT&,,自赋值拷贝,5
16,json = b,MutableValue,scalarT,MutableValue&,set,基本类型赋值转 json,5
16,a |= json,scalarT,jsonT,scalarT&,get,复合提取赋值给原变量,4
16,it += n,iteratorT,size_t,iteratorT&,advance,迭代器多步前进,3
16,it %= key,iteratorT,字符串、整数,iteratorT&,advance,迭代器重定位,3
,,,,,,以下转调根结点操作,
2,doc[key],docT,字符串、整数,jsonT,index,取根结点单层索引,4
3,+doc,无,jsonT,int,toInteger,取根结点转整数,3
3,-doc,无,jsonT,std::string,toString,取根结点转字符串,3
5,doc / path,docT,字符串、整数,jsonT,pathto,根结点路径访问,5
5,doc % key,docT,字符串、整数,iteratorT,iterator,根结点创建迭代器,4
7,os << doc,输出流,docT,os&,toString,根结点序列化流输出,4
10,doc == doc,docT,docT,bool,equal,根结点相等性判断,4
